Balistapus_undulatus,N
Diodon_hystrix,N
Doryrhamphus_excisus_excisus,C
Caesio_caerulaurea,N
Opisthonema_oglinum,N
Coris_julis,N
Tautoga_onitis,N
Centropyge_argi,N
Fundulus_bermudae,N
Photoblepharon_palpebratum,N
Histrio_histrio,N
Bagre_marinus,C
Pterocaesio_digramma,N
Trachurus_trachurus,C
Brevoortia_tyrannus,N
Escualosa_thoracata,C
Anchoa_hepsetus,N
Cetengraulis_edentulus,N
Stolephorus_baganensis,N
Thryssa_hamiltonii,N
Lutjanus_kasmira,N
Syngnathus_louisianae,C
Alosa_sapidissima,N
Acipenser_oxyrinchus,C
Hippocampus_zosterae,C
Entelurus_aequoreus,C
Phycodurus_eques,C
Dascyllus_marginatus,N
Oreochromis_shiranus,C
Acanthurus_bahianus,N
Amphiprion_clarkii,C
Thunnus_alalunga,N
Hippocampus_histrix,C
Siganus_canaliculatus,N
Gobiusculus_flavescens,B
Ciliata_septentrionalis,C
Chaetodipterus_zonatus,N
Trachelochismus_pinnulatus,C
Pseudophallus_mindii,C
Dorosoma_cepedianum,C
Haemulon_plumierii,N
Genyonemus_lineatus,N
Archosargus_probatocephalus,N
Platichthys_flesus,N
Pomacanthus_paru,N
Chasmodes_bosquianus,C
Plotosus_lineatus,C
Chirolophis_ascanii,N
Corythoichthys_flavofasciatus,C
Nematalosa_nasus,N
Sillago_sihama,N
Salvelinus_alpinus_erythrinus,C
Hippocampus_whitei,C
Gymnocephalus_cernua,W
Sphoeroides_maculatus,N
Oreochromis_niloticus,C
Thryssa_mystax,N
Sciaena_umbra,N
Parablennius_ruber,C
Chaetodon_capistratus,N
Cantherhines_pullus,G
Hippocampus_hippocampus,C
Zebrasoma_xanthurum,N
Arius_subrostratus,C
Hirundichthys_rondeletii,N
Umbrina_roncador,N
Sarda_chiliensis_chiliensis,C
Xiphister_mucosus,W
Hippocampus_breviceps,C
Hippocampus_comes,C
Hippocampus_reidi,C
Bothragonus_swanii,B
Leuresthes_tenuis,C
Membras_martinica,C
Parablennius_tentacularis,C
Astroscopus_guttatus,N
Amblyglyphidodon_leucogaster,C
Muraenolepis_microps,C
Syngnathus_schlegeli,C
Encrasicholina_heteroloba,N
Oreochromis_mossambicus,C
Abudefduf_saxatilis,C
Corythoichthys_paxtoni,C
Chilomycterus_schoepfii,N
Amphiprion_bicinctus,C
Channa_striata,C
Nerophis_lumbriciformis,C
Syngnathus_floridae,C
Scomberomorus_maculatus,N
Hippocampus_guttulatus,C
Micrognathus_crinitus,C
Syngnathus_acus,C
Nerophis_maculatus,C
Lepadogaster_candolii,C
Opsanus_tau,C
Coryphaena_hippurus,N
Ilypnus_gilberti,C
Labrisomus_nuchipinnis,C
Eubleekeria_splendens,N
Lethrinus_nebulosus,N
Corythoichthys_schultzi,C
Cottus_gobio,C
Corythoichthys_amplexus,C
Gasterosteus_aculeatus,C
Pseudobalistes_flavimarginatus,N
Diodon_holocanthus,N
Dinematichthys_iluocoeteoides,C
Chanos_chanos,C
Leucaspius_delineatus,N
Epinephelus_tauvina,N
Coryphaena_equiselis,N
Engraulis_mordax,N
Cheilopogon_hubbsi,C
Makaira_nigricans,N
Merluccius_albidus,N
Auxis_rochei_eudorax,N
Euthynnus_alletteratus,N
Scomber_scombrus,N
Thunnus_albacares,N
