Species,Genus,Family,Marine,Brackish,Freshwater,EggColour,EggColourCategory,Pigment,AdultColour,Match,Development,DevelopmentScore,DevelopmentScore2,MinDepth,MaxDepth,AverageDepth,MeanSurfaceTemp,MeanSurfaceOxygen,MeanSurfaceChlorophyll,Longitude,Latitude ,PositiveLatitude,PostCare,PC1,PC2,MatingSystem,ParentalCare,ParentalCare2,Transparent
Lepidogobius_lepidus,Lepidogobius,Gobiidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,0,201,100.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
Neogobius_melanostomus,Neogobius,Gobiidae,M,B,F,pale yellow to orange,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,0,30,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
Sicyopterus_lagocephalus,Sicyopterus,Gobiidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Blue-Grey-Orange,Yes,Demersal,1,0,0,5,2.5,24.90701168,213.7500091,0.351597385,123.1609278,11.81557842,11.81557842,0,18.36848228,0.036709783,Monogamy,Biparental,Biparental,0
Tridentiger_trigonocephalus,Tridentiger,Gobiidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-White,No,Demersal,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
Icosteus_aenigmaticus,Icosteus,Icosteidae,M,NA,NA,"yellow; orange; amber; opaque 
becoming clear",Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,0,1420,710,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
Lepisosteus_osseus,Lepisosteus,Lepisosteidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,None,None,0
Lophotus_lacepede,Lophotus,Lophotidae,M,NA,NA,amber,Yellow-Orange-Amber,Carotenoid,Grey-Orange-White,Yes,Pelagic,2,2,0,92,46,24.41771638,214.2390556,0.190434387,-66.57770803,10.25724306,10.25724306,0,17.79697272,-0.353101952,NA,None,None,0
Chelon_labrosus,Chelon,Mugilidae,M,B,F,transparent,Transparent,None,Grey,No,NA,NA,NA,NA,NA,NA,15.97539696,253.3537033,0.389123765,8.883355236,46.98055297,46.98055297,0,-22.20535471,-1.373994987,NA,None,None,1
Patagonotothen_ramsayi,Patagonotothen,Nototheniidae,M,NA,NA,light-yellow to light-orange,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,50,500,275,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
Ostracion_meleagris,Ostracion,Ostraciidae,M,NA,NA,colourless,Transparent,None,Black-Blue-White-Yellow,No,NA,NA,NA,1,30,15.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Paralichthys_dentatus,Paralichthys,Paralichthyidae,M,B,F,transparent ,Transparent,None,Brown,No,NA,NA,NA,10,183,96.5,17.88966257,241.969285,0.672340263,-75.20241591,37.3198913,37.3198913,0,-10.66353681,-1.61028397,NA,None,None,1
Paralichthys_olivaceus,Paralichthys,Paralichthyidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,No,NA,NA,NA,10,200,105,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Eurypegasus_draconis,Eurypegasus,Pegasidae,M,B,NA,transparent,Transparent,None,Blue-Brown,No,NA,NA,NA,3,91,47,27.67767727,203.4238433,0.175485837,127.5601654,4.887254252,4.887254252,0,29.02977322,0.838684521,NA,None,None,1
Psettichthys_melanostictus,Psettichthys,Pleuronectidae,M,NA,NA,clear yolk,Transparent,None,Brown,No,NA,NA,NA,1,325,163,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Stokellia_anisodon,Stokellia,Retropinnidae,M,B,F,colourless,Transparent,None,Grey,No,NA,NA,NA,NA,NA,NA,12.34980975,280.8635083,1.548376639,171.7108131,-44.08097072,44.08097072,0,-49.90951314,0.179664916,NA,NA,NA,1
Coregonus_albula,Coregonus,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Coregonus_nasus,Coregonus,Salmonidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Coregonus_sardinella,Coregonus,Salmonidae,M,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Prosopium_cylindraceum,Prosopium,Salmonidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Salmo_salar,Salmo,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Blue-Grey,No,NA,NA,NA,0,210,105,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Cheilotrema_saturnum,Cheilotrema,Sciaenidae,M,NA,NA,transparent,Transparent,None,Grey,No,Pelagic,2,2,NA,NA,NA,17.46276124,245.0589699,0.650668247,-118.027737,32.27990072,32.27990072,0,-13.77871429,-1.455149279,NA,None,None,1
Cynoscion_regalis,Cynoscion,Sciaenidae,M,B,NA,transparent,Transparent,None,Green-Grey,No,NA,NA,NA,10,26,18,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Scomber_japonicus,Scomber,Scombridae,M,NA,NA,transparent,Transparent,None,Brown-Grey,No,Pelagic,2,2,0,0,0,19.84315989,235.3552204,0.494929166,130.4050748,29.34375275,29.34375275,0,-3.801559826,-0.920882634,NA,None,None,1
Centropristis_striata,Centropristis,Serranidae,M,NA,NA,transparent yolk,Transparent,None,Black,No,NA,NA,NA,NA,NA,NA,18.75315844,242.6523492,0.464172856,-75.41369475,36.05238121,36.05238121,0,-11.17410085,-0.634821937,NA,None,None,1
Filicampus_tigris,Filicampus,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,No,NA,NA,NA,2,27,14.5,22.10159257,222.9953113,0.27702622,146.0002399,-30.17858662,30.17858662,2,8.762736607,-1.000420488,Monogamy,Paternal,Monoparental,0
Hippichthys_penicillus,Hippichthys,Syngnathidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,No,NA,NA,NA,NA,NA,NA,26.79088698,207.3104351,0.256405149,138.1370737,-18.09035017,18.09035017,2,25.04606497,0.690153655,Monogamy,Paternal,Monoparental,0
Hippocampus_abdominalis,Hippocampus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green-Orange,Yes,Benthic,0,1,0,4,2,15.73771987,252.3158107,0.576108086,172.3860611,-41.60625465,41.60625465,2,-21.22976854,-1.800542853,NA,Paternal,Monoparental,0
Hippocampus_barbouri,Hippocampus,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Orange,Yes,Benthic,0,1,6,12,9,28.86277076,200.0912771,0.142600286,119.7638172,1.326238716,1.326238716,2,32.52459608,1.383346988,NA,Paternal,Monoparental,0
Hippocampus_erectus,Hippocampus,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Red-Yellow,Yes,Benthic,0,1,1,73,37,26.13838842,208.0992617,0.135920534,-62.3747294,15.22179058,15.22179058,2,24.14965393,0.195735798,NA,Paternal,Monoparental,0
Hippocampus_kuda,Hippocampus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Yellow,Yes,Benthic,0,1,0,68,34,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,Paternal,Monoparental,0
Hippocampus_subelongatus,Hippocampus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Yellow,Yes,NA,NA,NA,1,25,13,21.85601961,220.3771454,0.124190573,114.2256588,-29.76128719,29.76128719,2,11.28956046,-1.728610012,Monogamy,Paternal,Monoparental,0
Syngnathus_phlegon,Syngnathus,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Blue-White,No,NA,NA,NA,NA,NA,NA,20.25300241,227.6227981,0.111299406,15.80612061,37.51664579,37.51664579,2,3.872191982,-1.956188729,NA,Paternal,Monoparental,0
Syngnathus_rostellatus,Syngnathus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,No,Benthic,0,1,0,15,7.5,11.02911528,301.0308905,0.492374864,8.125374741,56.10733433,56.10733433,2,-69.97069328,2.632538804,NA,Paternal,Monoparental,0
Syngnathus_scovelli,Syngnathus,Syngnathidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,No,NA,NA,NA,0,6,3,25.57926511,214.3827929,0.280829679,-88.5,31.00524431,31.00524431,2,17.87175615,0.814914873,NA,Paternal,Monoparental,0
Syngnathus_typhle,Syngnathus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Green,No,Benthic,0,1,1,20,10.5,15.54265289,262.4040998,0.347756621,10.78084205,48.29433536,48.29433536,2,-31.1783482,-0.116087186,NA,Paternal,Monoparental,0
Canthigaster_rostrata,Canthigaster,Tetraodontidae,M,NA,F,transparent,Transparent,None,Blue-Brown-Green-White-Yellow,No,Demersal,1,0,1,40,20.5,26.97350365,205.1346571,0.110221367,-79.52986264,20.4461444,20.4461444,0,27.21784865,0.464955075,Monogamy,Maternal,Monoparental,1
Canthigaster_valentini,Canthigaster,Tetraodontidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-White-Yellow,Yes,Demersal,1,0,1,5,3,27.75772634,202.6153346,0.146107169,130.9613148,1.668951719,1.668951719,0,29.83906455,0.766978752,Polygamy,None,None,0
Zoarces_fedorovi,Zoarces,Zoarcidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey*-Yellow,Yes,NA,NA,NA,6,10,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,Maternal,Monoparental,0
Gramma_loreto,Gramma,Grammatidae,M,NA,NA,transparent,Transparent,None,Purple-Yellow,No,Demersal,1,0,1,60,30.5,27.66795198,202.3206953,0.072130238,-76.25521422,17.48120659,17.48120659,0,30.11186864,0.623976379,NA,NA,NA,1
Nemipterus_virgatus,Nemipterus,Nemipteridae,M,NA,NA,transparent,Transparent,None,Pink-Yellow,No,NA,NA,NA,1,220,110.5,26.73491148,207.5446599,0.268354808,119.3060661,18.40895514,18.40895514,0,24.80551636,0.678713425,NA,None,None,1
Argyropelecus_hemigymnus,Argyropelecus,Sternoptychidae,M,NA,NA,transparent,Transparent,None,Grey,No,Pelagic,2,2,0,400,200,23.23925077,220.9816274,0.168203855,-85.46597527,-0.651403417,0.651403417,0,10.95286299,-0.257093195,NA,None,None,1
Eumegistus_brevorti,Eumegistus,Bramidae,M,NA,NA,transparent,Transparent,None,Blue-Grey,No,NA,NA,NA,384,1317,850.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1
Cubiceps_baxteri,Cubiceps,Nomeidae,M,NA,NA,Chorion light tan,Black-Brown-Grey,Melanin,Brown,Yes,NA,NA,NA,1,100,50.5,24.86143043,215.2878774,0.162995492,NA,NA,NA,0,16.84896471,0.277921148,NA,NA,NA,0
Gadus_morhua,Gadus,Gadidae,M,B,NA,transparent,Transparent,None,Brown-Grey,No,Pelagic,2,2,0,600,300,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Psenes_pellucidus,Psenes,Nomeidae,M,NA,NA,Chorion brownish with rose tint,Black-Brown-Grey,Melanin,Black-Brown,Yes,NA,NA,NA,NA,NA,NA,24.64989616,214.5415789,0.151309028,70.57628387,-2.779558907,2.779558907,0,17.5429053,-0.068712175,NA,NA,NA,0
Lycodes_cortezianus,Lycodes,Zoarcidae,M,NA,NA,transparent,Transparent,None,Black-Brown,No,NA,NA,NA,73,620,346.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
Eumecichthys_fiski,Eumecichthys,Lophotidae,M,NA,NA,transparent,Transparent,None,Grey-Orange,No,Pelagic,2,2,NA,NA,NA,25.1906045,212.6693791,0.141866806,-144.59396,17.55442076,17.55442076,0,19.48300091,0.114390611,NA,NA,NA,1
Merluccius_merluccius,Merluccius,Merlucciidae,M,NA,NA,transparent,Transparent,None,Grey,No,NA,NA,NA,30,1075,552.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Icichthys_lockingtoni,Icichthys,Centrolophidae,M,NA,NA,envelope clear,Transparent,None,Grey,No,NA,NA,NA,0,900,450,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1
Thyrsites_atun,Thyrsites,Gempylidae,M,B,NA,transparent,Transparent,None,Blue-Grey,No,NA,NA,NA,0,50,25,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Trachipterus_fukuzakii,Trachipterus,Trachipteridae,M,NA,NA,"pink, amber",Variety,Carotenoid,Brown,No,Pelagic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
Trachipterus_ishikawae,Trachipterus,Trachipteridae,M,NA,NA,transparent,Transparent,None,Grey-Red,No,NA,NA,NA,0,1200,600,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1
Cyclopterus_lumpus,Cyclopterus,Cyclopteridae,M,NA,NA,yellow; orange; amber; golden,Yellow-Orange-Amber,Carotenoid,Black*-Blue-Grey,No,Demersal,1,0,0,868,434,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Paternal,Monoparental,0
Dicentrarchus_labrax,Dicentrarchus,Moronidae,M,B,F,transparent,Transparent,None,Grey,No,Pelagic,2,2,10,100,55,16.19755909,252.9060308,0.373707901,9.819681306,48.5557064,48.5557064,0,-21.72417616,-1.238962069,NA,None,None,1
Lepidorhombus_whiffiagonis,Lepidorhombus,Scophthalmidae,M,NA,NA,transparent,Transparent,None,Brown,No,NA,NA,NA,100,700,400,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Thunnus_obesus,Thunnus,Scombridae,M,NA,NA,clear,Transparent,None,Blue-Grey-Yellow,No,NA,NA,NA,0,500,250,23.94348151,217.5572548,0.137499118,56.20098703,1.640375604,1.640375604,0,14.44846465,-0.201978267,NA,None,None,1
Chaenocephalus_aceratus,Chaenocephalus,Channichthyidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey*,No,NA,NA,NA,5,770,387.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Argentina_sphyraena,Argentina,Argentinidae,M,NA,NA,transparent,Transparent,None,Grey,No,NA,NA,NA,50,700,375,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Lophius_piscatorius,Lophius,Lophiidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey-Orange-White,Yes,NA,NA,NA,20,1000,510,15.79630675,256.8094447,0.418983054,7.941862781,46.20437173,46.20437173,0,-25.63411753,-0.907296588,NA,None,None,0
Anguilla_anguilla,Anguilla,Anguillidae,NA,B,F,transparent,Transparent,None,Brown-Yellow,No,NA,NA,NA,0,700,350,13.17575185,279.6081524,0.440997851,19.54104741,55.51222415,55.51222415,0,-48.5224559,0.757740176,NA,None,None,1
Champsocephalus_gunnari,Champsocephalus,Channichthyidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,0,700,350,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Limanda_ferruginea,Limanda,Pleuronectidae,M,NA,NA,transparent,Transparent,None,Brown-Yellow,No,NA,NA,NA,27,364,195.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1
Hippoglossoides_elassodon,Hippoglossoides,Pleuronectidae,M,NA,NA,"transparent, colourless yolk",Transparent,None,Brown-Grey,No,NA,NA,NA,0,1050,525,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Chionodraco_hamatus,Chionodraco,Channichthyidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,4,600,302,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Bellottia_apoda,Bellottia,Bythitidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Orange,Yes,NA,NA,NA,30,569,299.5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0
Hime_japonica,Hime,Aulopidae,M,NA,NA,transparent,Transparent,None,Brown-Orange-White,No,NA,NA,NA,85,510,297.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1
Eumicrotremus_orbis,Eumicrotremus,Cyclopteridae,M,NA,NA,"translucent envelope, clear yolk",Transparent,None,Brown-Green-Orange,No,NA,NA,NA,0,575,287.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1
Glyptocephalus_cynoglossus,Glyptocephalus,Pleuronectidae,M,NA,NA,transparent,Transparent,None,Brown,No,Pelagic,2,2,18,1570,794,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Lepidopus_altifrons,Lepidopus,Trichiuridae,M,NA,NA,transparent,Transparent,None,Brown-Grey,No,NA,NA,NA,100,500,300,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1
Xiphias_gladius,Xiphias,Xiphiidae,M,NA,NA,transparent,Transparent,None,Black-Grey,No,Pelagic,2,2,0,878,439,21.3759865,229.7734726,0.187381434,141.4341525,56.88421112,56.88421112,0,1.96787654,-0.452833558,NA,None,None,1
Thunnus_thynnus,Thunnus,Scombridae,M,B,NA,transparent,Transparent,None,Blue-Grey-Yellow,No,Pelagic,2,2,0,985,492.5,19.7210014,238.5546653,0.232772112,-26.08601351,40.9380318,40.9380318,0,-6.967909546,-0.445909143,NA,None,None,1
Trachipterus_altivelis,Trachipterus,Trachipteridae,M,NA,NA,amber; pink,Variety,Carotenoid,Grey-Red*,Yes,Pelagic,2,2,0,900,450,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
Pseudochaenichthys_georgianus,Pseudochaenichthys,Channichthyidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Grey*,No,NA,NA,NA,0,475,237.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Xiphister_atropurpureus,Xiphister,Stichaeidae,M,NA,NA,white envelope,White,Guanine,Black-Brown,No,NA,NA,NA,8,12,10,10.53535894,288.9537109,1.487007599,NA,NA,NA,1,-58.19601901,-0.098598039,NA,Paternal,Monoparental,0
Myoxocephalus_scorpius,Myoxocephalus,Cottidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-White,No,Demersal,1,0,0,451,225.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Paternal,Monoparental,0
Hemilepidotus_hemilepidotus,Hemilepidotus,Cottidae,M,NA,NA,Pink,Pink,Carotenoid,Red-White,Yes,NA,NA,NA,0,450,225,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
Callionymus_lyra,Callionymus,Callionymidae,M,NA,NA,transparent,Transparent,None,Blue-Brown,No,Pelagic,2,2,5,430,217.5,15.0259802,258.2199701,0.395896954,1.428751035,51.16619446,51.16619446,0,-27.16329458,-1.401869607,NA,None,None,1
Lepidonotothen_squamifrons,Lepidonotothen,Nototheniidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,10,900,455,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Hippoglossus_hippoglossus,Hippoglossus,Pleuronectidae,M,NA,NA,clear,Transparent,None,Brown,No,Pelagic,2,2,50,2000,1025,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Cepola_macrophthalma,Cepola,Cepolidae,M,NA,NA,transparent,Transparent,None,Red,No,Pelagic,2,2,15,400,207.5,17.74540595,241.2359137,0.301194861,2.965782504,43.12553961,43.12553961,0,-9.969786283,-1.888409201,NA,None,None,1
Parachaenichthys_charcoti,Parachaenichthys,Bathydraconidae,M,NA,NA,orange-reddish,Yellow-Orange-Amber,Carotenoid,Orange-White,Yes,NA,NA,NA,5,400,202.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
Opisthocentrus_ocellatus,Opisthocentrus,Stichaeidae,M,NA,NA,colourless yolk,Transparent,None,Green,No,NA,NA,NA,0,335,167.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Maternal,Monoparental,1
Ctenogobius_boleosoma,Ctenogobius,Gobiidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Yellow,Yes,NA,NA,NA,NA,NA,NA,26.74221789,206.5522381,0.177918424,-72.44008744,15.90906431,15.90906431,0,25.78198454,0.501331631,NA,NA,NA,0
Trachurus_symmetricus,Trachurus,Carangidae,M,NA,NA,clear envelope,Transparent,None,Blue-Green-Grey,No,NA,NA,NA,0,400,200,10.94650139,285.5054372,0.864370742,-137.4435981,51.62573857,51.62573857,0,-54.73143885,-0.335903485,NA,None,None,1
Engraulis_eurystole,Engraulis,Engraulidae,M,NA,NA,Transparent;,Transparent,None,Green-Grey,No,NA,NA,NA,124,282,203,24.19397637,217.8766753,0.336109155,-80.61364846,32.83653125,32.83653125,0,14.18120086,0.103549464,NA,None,None,1
Maurolicus_muelleri,Maurolicus,Sternoptychidae,M,NA,NA,transparent,Transparent,None,Blue-Grey,No,NA,NA,NA,271,1524,897.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1
Limanda_limanda,Limanda,Pleuronectidae,M,NA,NA,transparent,Transparent,None,Brown-Yellow,No,NA,NA,NA,20,150,85,8.441673162,301.1148323,0.562734331,18.77922954,63.38654991,63.38654991,0,-70.53435753,0.105844213,NA,None,None,1
Epinephelus_guttatus,Epinephelus,Serranidae,M,NA,NA,transparent,Transparent,None,Brown-Orange,No,NA,NA,NA,NA,NA,NA,27.0791542,204.6624691,0.096089444,-79.47256424,20.34566641,20.34566641,0,27.70144736,0.480949761,NA,None,None,1
Syngnathus_leptorhynchus,Syngnathus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Green,No,Benthic,0,1,0,5,2.5,12.91444003,272.7876145,0.941230838,-125.386179,45.52113172,45.52113172,2,-41.86949566,-0.767429045,NA,Paternal,Monoparental,0
Liopsetta_glacialis,Liopsetta,Pleuronectidae,M,B,F,clear yolk,Transparent,None,Brown-Green-White,No,NA,NA,NA,0,90,45,1.428789198,359.1745578,0.597397279,85.92449139,71.25852046,71.25852046,0,-128.8854414,4.012668075,NA,None,None,1
Porichthys_notatus,Porichthys,Batrachoididae,M,NA,NA,yellowish to orange ,Yellow-Orange-Amber,Carotenoid,Brown*-Grey,No,Benthic,0,1,0,366,183,12.83142252,273.233653,1.00399705,-124.893668,45.13433264,45.13433264,1,-42.32319198,-0.76604854,NA,Paternal,Monoparental,0
Clupea_harengus,Clupea,Clupeidae,M,B,NA,transparent,Transparent,None,Blue-Grey,No,Demersal,1,0,0,364,182,5.259448872,323.2612404,0.545988911,31.40121162,72.93440215,72.93440215,0,-92.88622909,1.097701481,NA,None,None,1
Spondyliosoma_cantharus,Spondyliosoma,Sparidae,M,NA,NA,yellow,Yellow-Orange-Amber,Carotenoid,Grey,No,Demersal,1,0,5,300,152.5,18.08409146,243.0034743,0.360268936,5.346261219,43.46044473,43.46044473,1,-11.64352715,-1.226918561,NA,NA,NA,0
Phytichthys_chirus,Phytichthys,Stichaeidae,M,NA,NA,white envelope,White,Guanine,Brown-Green,No,NA,NA,NA,0,12,6,8.290599917,302.7258501,1.150438515,NA,NA,NA,NA,-72.14536688,0.257007465,NA,NA,NA,0
Pseudopleuronectes_americanus,Pseudopleuronectes,Pleuronectidae,M,NA,NA,clear,Transparent,None,Black-Brown,No,NA,NA,NA,5,143,74,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Anoplarchus_purpurescens,Anoplarchus,Stichaeidae,M,NA,NA,envelope white,White,Guanine,Brown-Grey,No,Benthic,0,1,1,30,15.5,NA,NA,NA,NA,NA,NA,1,NA,NA,Polygamy,Maternal,Monoparental,0
Brama_dussumieri,Brama,Bramidae,M,NA,NA,transparent,Transparent,None,Grey,No,NA,NA,NA,1,300,150.5,26.177493,208.1786685,0.134715323,-83.62946731,-4.983327969,4.983327969,0,24.07890463,0.248925503,NA,NA,NA,1
Scomber_colias,Scomber,Scombridae,M,B,NA,transparent,Transparent,None,Grey,No,NA,NA,NA,NA,NA,NA,21.74383341,225.9461599,0.196804991,10.35037148,37.21716313,37.21716313,0,5.796831855,-0.80316918,NA,None,None,1
Parachaenichthys_georgianus,Parachaenichthys,Bathydraconidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown*,No,NA,NA,NA,5,270,137.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Agonus_cataphractus,Agonus,Agonidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey*,No,NA,NA,NA,0,270,135,8.342627683,310.9334767,0.528589076,16.94863703,63.77986107,63.77986107,0,-80.2001392,1.834500483,NA,None,None,0
Ophichthus_gomesii,Ophichthus,Ophichthidae,M,NA,NA,pale yellow,Yellow-Orange-Amber,Carotenoid,Brown,No,Benthic,0,1,1,450,225.5,25.88001247,210.1805604,0.242623233,-67.93641841,11.62524151,11.62524151,0,22.05661243,0.328926366,NA,NA,NA,0
Oncorhynchus_keta,Oncorhynchus,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey-Yellow*,Yes,NA,NA,NA,0,250,125,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Maternal,Monoparental,0
Scomberesox_saurus_saurus,Scomberesox,Scomberesocidae,M,NA,NA,clear,Transparent,None,Brown-Grey,No,NA,NA,NA,0,30,15,16.63043043,253.5475619,0.324337377,-22.36328014,45.09742901,45.09742901,0,-22.2740149,-0.694336411,NA,NA,NA,1
Antennarius_striatus,Antennarius,Antennariidae,M,B,NA,"light yellow, clear",Yellow-Orange-Amber,Carotenoid,Orange,Yes,Pelagic,2,2,10,219,114.5,25.45021122,211.277093,0.242492287,132.018672,-20.46261923,20.46261923,0,20.89927823,0.110545062,NA,None,None,0
Pareques_umbrosus,Pareques,Sciaenidae,M,NA,NA,transparent,Transparent,None,Grey,No,Pelagic,2,2,5,91,48,26.03199434,209.4356679,0.191796407,-87.71415442,26.48396464,26.48396464,0,22.81677467,0.339729268,NA,None,None,1
Sardinella_longiceps,Sardinella,Clupeidae,M,NA,NA,transparent,Transparent,None,Blue-Grey,No,NA,NA,NA,20,200,110,27.73762485,202.064288,0.281033982,67.83934341,19.17949082,19.17949082,0,30.37676009,0.644749752,NA,None,None,1
