Species,Genus,Family,Marine,Brackish,Freshwater,EggColour,EggColourCategory,Pigment,AdultColour,Match,Development,DevelopmentScore,DevelopmentScore2,MinDepth,MaxDepth,AverageDepth,MeanSurfaceTemp,MeanSurfaceOxygen,MeanSurfaceChlorophyll,Longitude,Latitude ,PositiveLatitude,PostCare,PC1,PC2,MatingSystem,ParentalCare,ParentalCare2,Transparent
Brycinus_longipinnis,Brycinus,Alestidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Green*,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Oreochromis_aureus,Oreochromis,Cichlidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygamy,Maternal,Monoparental,0
Oreochromis_spilurus,Oreochromis,Cichlidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Yellow,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maternal,Monoparental,0
Sarotherodon_galilaeus,Sarotherodon,Cichlidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey-Yellow,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biparental,Biparental,0
Pelmatolapia_mariae,Pelmatolapia,Cichlidae,NA,B,F,olive-green,Green,Green,Black-Yellow,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biparental,Biparental,0
Tilapia_zillii,Coptodon,Cichlidae,NA,B,F,green,Green,Green,Blue-Brown-Green,Yes,NA,NA,NA,NA,NA,NA,24.61109428,218.0078775,0.705033626,NA,NA,NA,NA,14.12985887,0.537790605,NA,NA,NA,0
Coptodon_rendalli,Coptodon,Cichlidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nematalosa_erebi,Nematalosa,Clupeidae,NA,B,F,transparent,Transparent,None,Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,1
Alosa_pseudoharengus,Alosa,Clupeidae,M,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Cottus_asper,Cottus,Cottidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygamy,Paternal,Monoparental,0
Cottus_aleuticus,Cottus,Cottidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Cottus_cognatus,Cottus,Cottidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Leuciscus_leuciscus,Leuciscus,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey-Yellow,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Tinca_tinca,Tinca,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Yellow*,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Squalius_cephalus,Squalius,Cyprinidae,NA,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Brown-Green,No,Demersal,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Cyprinus_carpio,Cyprinus,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Alburnus_alburnus,Alburnus,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Gobio_gobio,Gobio,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Hypseleotris_compressa,Hypseleotris,Eleotridae,NA,B,F,transparent,Transparent,None,Black-Blue-Orange,No,Pelagic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paternal,Monoparental,1
Culaea_inconstans,Culaea,Gasterosteidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygamy,Paternal,Monoparental,0
Lota_lota,Lota,Lotidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Tan-Yellow,Yes,Demersal,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Macrognathus_aral,Macrognathus,Mastacembelidae,NA,B,F,green,Green,Green,Grey,No,Demersal,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Nandus_nandus,Nandus,Nandidae,NA,B,F,translucent,Transparent,None,Brown-Green,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,1
Thaleichthys_pacificus,Thaleichthys,Osmeridae,M,B,F,transparent,Transparent,None,Brown-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,1
Osmerus_eperlanus,Osmerus,Osmeridae,M,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Grey,No,Demersal,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Macquaria_novemaculeata,Macquaria,Percichthyidae,NA,B,F,transparent,Transparent,None,Brown-Green,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Macquaria_colonorum,Macquaria,Percichthyidae,NA,B,F,transparent,Transparent,None,Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Nannoperca_vittata,Nannoperca,Percichthyidae,NA,B,F,transparent,Transparent,None,Brown-Orange,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,1
Etheostoma_olmstedi,Etheostoma,Percidae,NA,B,F,transparent,Transparent,None,Brown,No,Demersal,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paternal,Monoparental,1
Sander_lucioperca,Sander,Percidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monogamy,Paternal,Monoparental,0
Polycentrus_schomburgkii,Polycentrus,Polycentridae,NA,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Black-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Retropinna_semoni,Retropinna,Retropinnidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey-Orange,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Oncorhynchus_kisutch,Oncorhynchus,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Blue-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maternal,Monoparental,0
Oncorhynchus_tshawytscha,Oncorhynchus,Salmonidae,M,B,F,orange-red,Yellow-Orange-Amber,Carotenoid,Brown*,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maternal,Monoparental,0
Oncorhynchus_mykiss,Oncorhynchus,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Silver,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,0
Oncorhynchus_nerka,Oncorhynchus,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Red,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygamy,Maternal,Monoparental,0
Monopterus_albus,Monopterus,Synbranchidae,NA,B,F,orange,Yellow-Orange-Amber,Carotenoid,Brown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paternal,Monoparental,0
Microphis_cuncalus,Microphis,Syngnathidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Green-Tan,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paternal,Monoparental,0
Enneacampus_ansorgii,Enneacampus,Syngnathidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Red,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paternal,Monoparental,0
Hippichthys_parvicarinatus,Hippichthys,Syngnathidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paternal,Monoparental,0
Leiopotherapon_unicolor,Leiopotherapon,Terapontidae,M,B,F,transparent,Transparent,None,Brown-Grey,No,Demersal,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paternal,Monoparental,1
Atherina_presbyter,Atherina,Atherinidae,M,B,NA,transparent,Transparent,None,Blue-Grey-Yellow,No,NA,NA,NA,NA,NA,NA,17.46201,245.4895757,0.36261034,-2.64665907,43.0470189,43.0470189,0,-14.20194806,-1.375807625,NA,None,None,1
Salaria_pavo,Salaria,Blenniidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Orange-White,Yes,Demersal,1,0,NA,NA,NA,18.96230184,237.6759409,0.171221367,14.26559837,39.86326859,39.86326859,1,-6.245609539,-1.354789934,Polygamy,Paternal,Monoparental,0
Callionymus_sagitta,Callionymus,Callionymidae,M,B,NA,transparent,Transparent,None,Brown,No,NA,NA,NA,NA,NA,NA,27.25024002,208.6977221,0.244926511,108.8788197,10.27347984,10.27347984,0,23.76840454,1.399487323,NA,None,None,1
Alosa_mediocris,Alosa,Clupeidae,M,B,F,transparent,Transparent,None,Green-Grey,No,NA,NA,NA,NA,NA,NA,17.37123121,248.8739443,0.755894794,-76.71689934,37.16343692,37.16343692,0,-17.54415988,-0.835611567,NA,None,None,1
Phoxinus_phoxinus,Phoxinus,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black*-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Cyprinodon_variegatus_ovinus,Cyprinodon,Cyprinodontidae,M,B,F,transparent,Transparent,None,Blue-Brown-Grey-Yellow,No,NA,NA,NA,NA,NA,NA,21.47849915,229.9589614,0.483352523,-82.38822624,31.00119777,31.00119777,0,1.8046878,-0.317613835,NA,None,None,1
Encrasicholina_punctifer,Encrasicholina,Engraulidae,M,NA,NA,transparent,Transparent,None,Green-Grey,No,NA,NA,NA,5,35,20,28.08906578,202.3462473,0.155316336,127.4714067,1.763170338,1.763170338,0,30.16507695,1.042495929,NA,None,None,1
