Pseudophallus_mindii,2
Dorosoma_cepedianum,2
Haemulon_plumierii,1
Genyonemus_lineatus,1
Archosargus_probatocephalus,1
Platichthys_flesus,1
Pomacanthus_paru,1
Chasmodes_bosquianus,2
Plotosus_lineatus,2
Chirolophis_ascanii,1
Corythoichthys_flavofasciatus,2
Nematalosa_nasus,1
Sillago_sihama,1
Salvelinus_alpinus_erythrinus,2
Hippocampus_whitei,2
Gymnocephalus_cernua,4
Sphoeroides_maculatus,1
Oreochromis_niloticus,2
Thryssa_mystax,1
Sciaena_umbra,1
Parablennius_ruber,2
Chaetodon_capistratus,1
Cantherhines_pullus,3
Hippocampus_hippocampus,2
Zebrasoma_xanthurum,1
Arius_subrostratus,2
Hirundichthys_rondeletii,1
Umbrina_roncador,1
Sarda_chiliensis_chiliensis,2
Xiphister_mucosus,4
Hippocampus_breviceps,2
Hippocampus_comes,2
Hippocampus_reidi,2
Bothragonus_swanii,5
Leuresthes_tenuis,2
Membras_martinica,2
Parablennius_tentacularis,2
Astroscopus_guttatus,1
Amblyglyphidodon_leucogaster,2
Muraenolepis_microps,2
Syngnathus_schlegeli,2
Encrasicholina_heteroloba,1
Oreochromis_mossambicus,2
Abudefduf_saxatilis,2
Corythoichthys_paxtoni,2
Chilomycterus_schoepfii,1
Amphiprion_bicinctus,2
Channa_striata,2
Nerophis_lumbriciformis,2
Syngnathus_floridae,2
Scomberomorus_maculatus,1
Hippocampus_guttulatus,2
Micrognathus_crinitus,2
Syngnathus_acus,2
Nerophis_maculatus,2
Lepadogaster_candolii,2
Opsanus_tau,2
Coryphaena_hippurus,1
Ilypnus_gilberti,2
Labrisomus_nuchipinnis,2
Eubleekeria_splendens,1
Lethrinus_nebulosus,1
Corythoichthys_schultzi,2
Cottus_gobio,2
Corythoichthys_amplexus,2
Gasterosteus_aculeatus,2
Pseudobalistes_flavimarginatus,1
Diodon_holocanthus,1
Dinematichthys_iluocoeteoides,2
Chanos_chanos,2
Leucaspius_delineatus,1
Epinephelus_tauvina,1
Coryphaena_equiselis,1
Engraulis_mordax,1
Cheilopogon_hubbsi,2
Makaira_nigricans,1
Merluccius_albidus,1
Auxis_rochei_eudorax,1
Euthynnus_alletteratus,1
Scomber_scombrus,1
Thunnus_albacares,1
